2019-08-02 09:23:27.824 logback [main] INFO  com.jindi.land.LandApplication - Starting LandApplication on localhost with PID 18496 (/Users/mac/work/source/idea/java1.8/landCraw/target/classes started by mac in /Users/mac/work/source/idea/java1.8/landCraw)
2019-08-02 09:23:36.581 logback [pool-5-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:36.581 logback [pool-5-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:36.595 logback [pool-5-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
2019-08-02 09:23:36.597 logback [pool-3-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:36.598 logback [pool-3-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:36.614 logback [pool-3-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:36.637 logback [pool-2-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:36.637 logback [pool-2-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:36.654 logback [pool-2-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:36.678 logback [pool-2-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:36.678 logback [pool-2-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:36.688 logback [pool-2-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:36.735 logback [pool-4-thread-3] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://222.220.152.229:43671
2019-08-02 09:23:36.795 logback [pool-2-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
